CLASSIFICATION,TERSE_SCORE,TERSE_NON_BLANK,TERSE_TOTAL_LINES,NOISY_SCORE,NOISY_NON_BLANK,NOISY_TOTAL_LINES,TERSE_FILE,NOISY_FILE,VISUAL_CLASSIFICATION
"false",0,8,8,0,13,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01363011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01363011_lg.txt,t
"false",0,8,8,0,12,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01363111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01363111_lg.txt,t
"false",0,9,9,1,12,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01363411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01363411_lg.txt,t
"true",2,7,7,5,9,29,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01363711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01363711_lg.txt,h
"true",2,9,9,3,8,14,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01363811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01363811_lg.txt,h
"false",0,9,9,1,13,26,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01365511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01365511_lg.txt,t
"false",0,11,11,0,11,25,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01365611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01365611_lg.txt,t
"false",0,10,10,1,11,35,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01365711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01365711_lg.txt,t
"false",0,8,8,0,13,34,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01365911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01365911_lg.txt,t
"false",0,8,8,0,12,29,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391211_lg.txt,t
"true",0,9,9,2,18,47,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391311_lg.txt,t
"true",1,9,9,3,13,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391411_lg.txt,h
"false",0,8,8,0,11,18,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391511_lg.txt,t
"false",0,7,7,0,12,26,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391611_lg.txt,t
"false",0,8,8,0,9,25,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391711_lg.txt,t
"false",0,8,8,0,9,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391811_lg.txt,t
"true",2,9,9,7,9,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01391911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01391911_lg.txt,h
"true",0,4,4,6,7,14,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000011_lg.txt,h
"true",1,13,13,4,11,28,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000111_lg.txt,t
"true",10,21,21,9,18,34,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000211_lg.txt,h
"true",0,4,4,2,16,28,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000311_lg.txt,t
"true",3,7,7,3,9,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000511_lg.txt,h
"false",0,7,7,0,10,21,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000611_lg.txt,t
"true",0,4,4,2,10,21,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000711_lg.txt,t
"false",0,7,7,0,11,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000811_lg.txt,t
"true",3,15,15,5,19,33,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0000911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0000911_lg.txt,h
"false",0,10,10,0,10,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001011_lg.txt,t
"true",11,11,11,5,8,14,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001111_lg.txt,h
"true",1,16,16,13,17,34,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001211_lg.txt,t
"true",1,15,15,5,7,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001311_lg.txt,h
"true",6,5,5,3,4,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001411_lg.txt,h
"false",3,17,17,1,19,43,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001511_lg.txt,t
"false",3,4,4,0,3,8,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001611_lg.txt,t
"true",5,13,13,5,18,30,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001711_lg.txt,h
"true",1,11,11,5,14,25,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001811_lg.txt,t
"true",0,5,5,4,14,30,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0001911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0001911_lg.txt,h
"false",0,4,4,0,8,20,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002011_lg.txt,t
"true",1,7,7,2,7,17,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002111_lg.txt,h
"true",0,5,5,8,12,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002211_lg.txt,t
"true",0,7,7,5,14,26,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002311_lg.txt,h
"true",0,7,7,6,8,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002411_lg.txt,t
"true",1,7,7,3,11,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002511_lg.txt,h
"true",1,8,8,8,27,40,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002611_lg.txt,t
"true",0,11,11,3,18,37,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002711_lg.txt,t
"false",0,7,7,1,15,31,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002811_lg.txt,t
"false",0,8,8,0,6,14,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0002911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0002911_lg.txt,t
"false",0,6,6,0,13,21,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003011_lg.txt,t
"true",8,10,10,18,23,39,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003111_lg.txt,h
"true",0,4,4,5,9,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003211_lg.txt,h
"false",0,7,7,1,12,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003311_lg.txt,t
"true",1,10,10,2,15,35,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003411_lg.txt,t
"true",1,12,12,3,13,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/TENN-L-0003511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/TENN-L-0003511_lg.txt,t
"true",1,11,11,3,17,28,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012111_lg.txt,h
"true",0,6,6,1,8,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012211_lg.txt,h
"true",2,8,8,2,10,16,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012311_lg.txt,h
"true",2,9,9,3,8,12,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012511_lg.txt,h
"true",1,9,9,1,9,16,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012611_lg.txt,h
"true",1,4,4,3,6,8,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012711_lg.txt,h
"false",0,10,10,0,12,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012811_lg.txt,t
"false",6,9,9,1,11,32,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0012911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0012911_lg.txt,h
"false",0,8,8,1,10,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013011_lg.txt,h
"true",0,9,9,7,12,20,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013111_lg.txt,h
"true",0,1,1,7,8,13,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013211_lg.txt,h
"true",1,8,8,2,12,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013311_lg.txt,h
"true",3,12,12,6,14,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013411_lg.txt,h
"true",2,11,11,4,11,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013511_lg.txt,h
"true",4,11,11,6,15,27,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013611_lg.txt,h
"true",1,12,12,4,13,20,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0013711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0013711_lg.txt,h
"false",0,7,7,0,8,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0014411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0014411_lg.txt,t
"false",1,7,7,0,9,17,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0014511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0014511_lg.txt,t
"false",6,8,8,0,8,16,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0014611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0014611_lg.txt,h
"true",0,10,10,2,12,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0014811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0014811_lg.txt,t
"true",2,5,5,2,12,17,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0014911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0014911_lg.txt,h
"true",3,7,7,3,9,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015011_lg.txt,h
"false",0,4,4,0,7,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015111_lg.txt,t
"true",1,11,11,6,8,13,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015211_lg.txt,h
"true",5,13,13,2,15,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015411_lg.txt,h
"true",1,5,5,3,9,20,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015511_lg.txt,h
"true",2,18,18,2,17,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0015911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0015911_lg.txt,h
"false",0,9,9,0,8,12,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016011_lg.txt,h
"true",5,13,13,3,12,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016111_lg.txt,h
"true",3,7,7,3,11,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016211_lg.txt,h
"true",13,12,12,7,13,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016311_lg.txt,h
"true",1,10,10,3,14,21,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016411_lg.txt,h
"false",0,6,6,1,10,18,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016511_lg.txt,h
"false",1,5,5,0,8,14,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/WIS-L-0016611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/WIS-L-0016611_lg.txt,t
